fin_year,mnth,lgd_state_code,state_name,lgd_district_code,district_name,scheme_code,total_beneficiaries,total_sc,total_st,total_gen,total_obc,total_aadhar,total_mobileno,lastUpdated
2023-2024,02,1,"JAMMU AND KASHMIR",13,SRINAGAR,IGNWPS,546,0,1,544,1,403,127,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",14,UDHAMPUR,IGNWPS,353,85,17,238,13,250,121,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",2,BADGAM,IGNWPS,176,3,1,170,2,150,25,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",4,DODA,IGNWPS,246,9,18,219,0,237,33,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",622,KULGAM,IGNWPS,290,20,0,257,13,290,0,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",624,SAMBA,IGNWPS,117,14,4,98,1,83,2,2024-07-31
2023-2024,02,1,"JAMMU AND KASHMIR",625,SHOPIAN,IGNWPS,454,0,47,407,0,454,315,2024-07-31
2023-2024,02,10,BIHAR,196,GAYA,IGNWPS,15236,6590,87,7644,915,11236,11618,2024-07-31
2023-2024,02,10,BIHAR,202,KHAGARIA,IGNWPS,15163,1623,271,11498,1771,10253,12412,2024-07-31
2023-2024,02,10,BIHAR,204,LAKHISARAI,IGNWPS,4116,684,34,1588,1810,2883,3181,2024-07-31
2023-2024,02,10,BIHAR,207,MUNGER,IGNWPS,8394,1313,122,6277,682,5913,6581,2024-07-31
2023-2024,02,10,BIHAR,215,ROHTAS,IGNWPS,12709,1549,147,9748,1265,8417,9737,2024-07-31
2023-2024,02,10,BIHAR,216,SAHARSA,IGNWPS,12568,2088,66,7037,3377,8442,10197,2024-07-31
2023-2024,02,10,BIHAR,224,VAISHALI,IGNWPS,25170,6390,112,5108,13560,17553,21438,2024-07-31
2023-2024,02,10,BIHAR,611,ARWAL,IGNWPS,5131,392,4,4417,318,3016,3851,2024-07-31
2023-2024,02,11,SIKKIM,225,"EAST DISTRICT",IGNWPS,664,60,232,224,148,0,132,2024-07-31
2023-2024,02,11,SIKKIM,227,"SOUTH DISTRICT",IGNWPS,315,37,94,100,84,0,141,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",230,"UPPER DIBANG VALLEY",IGNWPS,78,0,78,0,0,51,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",233,"KURUNG KUMEY",IGNWPS,391,0,391,0,0,168,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",235,"LOWER DIBANG VALLEY",IGNWPS,200,0,144,55,1,145,30,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",238,TAWANG,IGNWPS,201,0,201,0,0,133,12,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",239,TIRAP,IGNWPS,277,0,277,0,0,157,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",677,"KRA DAADI",IGNWPS,143,0,143,0,0,81,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",678,NAMSAI,IGNWPS,142,0,142,0,0,71,0,2024-07-31
2023-2024,02,12,"ARUNACHAL PRADESH",723,"PAKKE KESSANG",IGNWPS,74,0,74,0,0,43,0,2024-07-31
2023-2024,02,13,NAGALAND,250,WOKHA,IGNWPS,407,0,407,0,0,0,0,2024-07-31
2023-2024,02,13,NAGALAND,614,KIPHIRE,IGNWPS,201,0,201,0,0,51,1,2024-07-31
2023-2024,02,14,MANIPUR,256,"IMPHAL WEST",IGNWPS,1799,58,37,915,789,1369,220,2024-07-31
2023-2024,02,15,MIZORAM,263,KOLASIB,IGNWPS,166,1,164,1,0,148,126,2024-07-31
2023-2024,02,15,MIZORAM,265,LUNGLEI,IGNWPS,365,0,349,16,0,225,103,2024-07-31
2023-2024,02,15,MIZORAM,267,SAIHA,IGNWPS,165,0,80,85,0,94,111,2024-07-31
2023-2024,02,16,TRIPURA,270,"NORTH TRIPURA",IGNWPS,1118,337,133,434,214,669,1,2024-07-31
2023-2024,02,16,TRIPURA,654,GOMATI,IGNWPS,1820,354,556,632,278,1128,28,2024-07-31
2023-2024,02,17,MEGHALAYA,279,"WEST KHASI HILLS",IGNWPS,878,1,869,7,1,648,284,2024-07-31
2023-2024,02,17,MEGHALAYA,656,"NORTH GARO HILLS",IGNWPS,236,0,232,4,0,138,15,2024-07-31
2023-2024,02,18,ASSAM,284,DHEMAJI,IGNWPS,2538,176,1062,378,922,2106,1952,2024-07-31
2023-2024,02,18,ASSAM,296,MORIGAON,IGNWPS,4234,345,488,3063,338,2397,1627,2024-07-31
2023-2024,02,18,ASSAM,299,"DIMA HASAO",IGNWPS,581,3,348,186,44,514,581,2024-07-31
2023-2024,02,18,ASSAM,301,SONITPUR,IGNWPS,3899,43,93,3569,194,2471,2426,2024-07-31
2023-2024,02,18,ASSAM,707,"SOUTH SALMARA-MANCACHAR",IGNWPS,2307,38,0,2265,4,1620,1218,2024-07-31
2023-2024,02,19,"WEST BENGAL",308,COOCHBEHAR,IGNWPS,30579,14548,143,15566,297,30190,29909,2024-07-31
2023-2024,02,19,"WEST BENGAL",309,DARJEELING,IGNWPS,8256,2454,1609,3975,213,7934,7531,2024-07-31
2023-2024,02,19,"WEST BENGAL",315,KOLKATA,IGNWPS,16824,0,0,16823,0,16665,13984,2024-07-31
2023-2024,02,19,"WEST BENGAL",318,"PASCHIM MEDINIPUR",IGNWPS,47376,11941,6887,28023,511,46460,44900,2024-07-31
2023-2024,02,2,"HIMACHAL PRADESH",23,SHIMLA,IGNWPS,2949,898,5,2035,11,937,0,2024-07-31
2023-2024,02,2,"HIMACHAL PRADESH",25,SOLAN,IGNWPS,1675,748,52,799,76,451,0,2024-07-31
2023-2024,02,20,JHARKHAND,342,SIMDEGA,IGNWPS,5584,602,3897,306,779,5577,1261,2024-07-31
2023-2024,02,20,JHARKHAND,343,"WEST SINGHBHUM",IGNWPS,9594,587,6050,344,2613,9353,8735,2024-07-31
2023-2024,02,20,JHARKHAND,606,KHUNTI,IGNWPS,4861,264,3363,762,472,4844,1326,2024-07-31
2023-2024,02,20,JHARKHAND,607,RAMGARH,IGNWPS,5702,812,1569,423,2898,5680,5679,2024-07-31
2023-2024,02,21,ODISHA,344,ANGUL,IGNWPS,13583,2386,1805,3934,5458,13573,10772,2024-07-31
2023-2024,02,21,ODISHA,346,BALESHWAR,IGNWPS,23118,2074,909,15649,4486,22990,8005,2024-07-31
2023-2024,02,21,ODISHA,354,GANJAM,IGNWPS,47426,7240,1047,28321,10818,45927,18788,2024-07-31
2023-2024,02,21,ODISHA,355,JAGATSINGHAPUR,IGNWPS,10759,1560,28,6356,2815,10466,4262,2024-07-31
2023-2024,02,21,ODISHA,368,NUAPADA,IGNWPS,8922,675,1618,4462,2167,8690,4342,2024-07-31
2023-2024,02,22,CHHATTISGARH,377,DHAMTARI,IGNWPS,7553,155,807,5383,1208,6748,839,2024-07-31
2023-2024,02,22,CHHATTISGARH,379,JANJGIR-CHAMPA,IGNWPS,5305,899,327,2376,1703,4600,435,2024-07-31
2023-2024,02,22,CHHATTISGARH,382,KABIRDHAM,IGNWPS,4939,528,949,1015,2447,4716,2080,2024-07-31
2023-2024,02,22,CHHATTISGARH,385,MAHASAMUND,IGNWPS,10029,1281,2279,2031,4438,9702,3505,2024-07-31
2023-2024,02,22,CHHATTISGARH,636,BIJAPUR,IGNWPS,2872,168,2060,430,214,2094,83,2024-07-31
2023-2024,02,22,CHHATTISGARH,637,NARAYANPUR,IGNWPS,1669,71,1167,350,81,1517,246,2024-07-31
2023-2024,02,22,CHHATTISGARH,646,BALOD,IGNWPS,7410,530,2145,1735,3000,7122,1076,2024-07-31
2023-2024,02,22,CHHATTISGARH,761,"MOHLA MANPUR AMBAGARH CHOUKI",IGNWPS,2975,164,1540,606,665,2902,1009,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",398,CHHATARPUR,IGNWPS,13082,4350,1054,1594,6084,7419,3565,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",400,DAMOH,IGNWPS,21254,5239,3402,1934,10679,11040,4692,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",405,KHANDWA,IGNWPS,14662,2315,5862,1526,4959,7560,3914,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",408,HARDA,IGNWPS,4971,1225,1494,398,1854,2787,1048,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",415,MANDLA,IGNWPS,24757,1428,14392,567,8370,15435,6628,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",418,NARSINGHPUR,IGNWPS,15765,3319,2860,1538,8048,9251,3973,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",427,SEHORE,IGNWPS,11071,3077,1383,1437,5174,6547,2480,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",430,SHAJAPUR,IGNWPS,10723,3775,505,1477,4966,5342,3056,2024-07-31
2023-2024,02,23,"MADHYA PRADESH",639,ALIRAJPUR,IGNWPS,7327,311,6735,47,234,3501,1820,2024-07-31
2023-2024,02,24,GUJARAT,439,AMRELI,IGNWPS,3413,449,9,884,2068,3395,3395,2024-07-31
2023-2024,02,24,GUJARAT,440,ANAND,IGNWPS,20438,76,8,19613,729,20274,20286,2024-07-31
2023-2024,02,24,GUJARAT,447,JAMNAGAR,IGNWPS,7436,326,8,4354,2747,7399,7378,2024-07-31
2023-2024,02,24,GUJARAT,450,KHEDA,IGNWPS,18044,70,16,17271,685,17828,12345,2024-07-31
2023-2024,02,24,GUJARAT,451,MAHESANA,IGNWPS,15281,713,184,9950,4433,15147,14590,2024-07-31
2023-2024,02,24,GUJARAT,455,PATAN,IGNWPS,21343,1393,177,9500,10270,21215,21195,2024-07-31
2023-2024,02,24,GUJARAT,462,VALSAD,IGNWPS,11882,648,3347,7143,744,11667,11579,2024-07-31
2023-2024,02,24,GUJARAT,641,TAPI,IGNWPS,10708,129,9636,689,254,10697,10707,2024-07-31
2023-2024,02,24,GUJARAT,673,MORBI,IGNWPS,3406,114,7,2587,697,3398,3376,2024-07-31
2023-2024,02,27,MAHARASHTRA,474,DHULE,IGNWPS,5334,90,789,4176,279,4183,44,2024-07-31
2023-2024,02,27,MAHARASHTRA,479,JALNA,IGNWPS,1612,4,0,1608,0,1461,890,2024-07-31
2023-2024,02,27,MAHARASHTRA,485,NANDED,IGNWPS,269,38,0,210,21,264,86,2024-07-31
2023-2024,02,27,MAHARASHTRA,491,RAIGAD,IGNWPS,1675,80,280,1024,291,1641,496,2024-07-31
2023-2024,02,27,MAHARASHTRA,498,WARDHA,IGNWPS,1085,106,126,650,203,873,338,2024-07-31
2023-2024,02,28,"ANDHRA PRADESH",510,KRISHNA,IGNWPS,65318,15154,2464,14945,32755,37659,50930,2024-07-31
2023-2024,02,28,"ANDHRA PRADESH",519,SRIKAKULAM,IGNWPS,52154,4018,3293,2990,41853,34700,39483,2024-07-31
2023-2024,02,28,"ANDHRA PRADESH",745,"Alluri Sitharama Raju",IGNWPS,7100,190,422,1209,5279,7100,7086,2024-07-31
2023-2024,02,28,"ANDHRA PRADESH",746,Kakinada,IGNWPS,8012,795,103,3229,3885,8012,8009,2024-07-31
2023-2024,02,28,"ANDHRA PRADESH",747,Konaseema,IGNWPS,8206,752,339,1528,5587,8206,8192,2024-07-31
2023-2024,02,29,KARNATAKA,530,BIJAPUR,IGNWPS,9818,896,69,1788,7065,9498,6340,2024-07-31
2023-2024,02,29,KARNATAKA,531,"CHAMARAJA NAGARA",IGNWPS,9281,452,282,541,8006,9002,5661,2024-07-31
2023-2024,02,29,KARNATAKA,533,CHITRADURGA,IGNWPS,10392,999,788,944,7661,10150,7053,2024-07-31
2023-2024,02,29,KARNATAKA,538,GULBARGA,IGNWPS,13704,1239,56,1698,10711,12740,9650,2024-07-31
2023-2024,02,29,KARNATAKA,545,MYSORE,IGNWPS,23812,1956,1189,7350,13317,23254,15370,2024-07-31
2023-2024,02,29,KARNATAKA,548,TUMKUR,IGNWPS,16304,1057,541,6754,7952,16130,12477,2024-07-31
2023-2024,02,29,KARNATAKA,550,"UTTARA KANNADA",IGNWPS,11515,1075,226,618,9596,11409,8894,2024-07-31
2023-2024,02,3,PUNJAB,29,FARIDKOT,IGNWPS,1402,16,0,1386,0,760,1108,2024-07-31
2023-2024,02,3,PUNJAB,38,MOGA,IGNWPS,556,2,0,551,3,335,515,2024-07-31
2023-2024,02,30,GOA,551,"NORTH GOA",IGNWPS,2910,74,255,1879,702,2703,58,2024-07-31
2023-2024,02,32,KERALA,555,ERNAKULAM,IGNWPS,25005,1484,116,23405,0,21217,18440,2024-07-31
2023-2024,02,32,KERALA,559,KOLLAM,IGNWPS,38157,2160,563,35434,0,33907,24508,2024-07-31
2023-2024,02,32,KERALA,560,KOTTAYAM,IGNWPS,13507,742,196,12569,0,12714,9811,2024-07-31
2023-2024,02,32,KERALA,562,MALAPPURAM,IGNWPS,27097,1557,422,25118,0,25191,22803,2024-07-31
2023-2024,02,32,KERALA,565,THIRUVANANTHAPURAM,IGNWPS,59629,3535,640,55454,0,51155,40252,2024-07-31
2023-2024,02,33,"TAMIL NADU",571,DHARMAPURI,IGNWPS,9204,1399,272,5641,1892,8290,9155,2024-07-31
2023-2024,02,33,"TAMIL NADU",574,KANCHEEPURAM,IGNWPS,25549,7291,203,15918,2137,13679,25530,2024-07-31
2023-2024,02,33,"TAMIL NADU",576,KARUR,IGNWPS,4748,1432,0,268,3048,3957,4699,2024-07-31
2023-2024,02,33,"TAMIL NADU",578,MADURAI,IGNWPS,33013,2485,0,24118,6410,20553,32430,2024-07-31
2023-2024,02,33,"TAMIL NADU",583,RAMANATHAPURAM,IGNWPS,12006,2670,0,298,9038,7944,11940,2024-07-31
2023-2024,02,33,"TAMIL NADU",586,THANJAVUR,IGNWPS,12773,2910,0,7901,1962,11349,12734,2024-07-31
2023-2024,02,33,"TAMIL NADU",593,TIRUVANNAMALAI,IGNWPS,8034,1998,9,4893,1134,6751,8025,2024-07-31
2023-2024,02,33,"TAMIL NADU",610,ARIYALUR,IGNWPS,4308,1278,33,1252,1745,4008,4304,2024-07-31
2023-2024,02,36,TELANGANA,522,WARANGAL,IGNWPS,4960,779,591,148,3442,4831,4497,2024-07-31
2023-2024,02,36,TELANGANA,681,JAGITIAL,IGNWPS,5733,1147,266,478,3842,4979,5523,2024-07-31
2023-2024,02,36,TELANGANA,697,YADADRI,IGNWPS,5540,1121,360,335,3724,5480,5303,2024-07-31
2023-2024,02,36,TELANGANA,721,NARAYANPET,IGNWPS,3187,687,124,122,2254,3063,2984,2024-07-31
2023-2024,02,37,LADAKH,6,KARGIL,IGNWPS,252,0,252,0,0,0,0,2024-07-31
2023-2024,02,37,LADAKH,9,"LEH LADAKH",IGNWPS,193,0,193,0,0,95,20,2024-07-31
2023-2024,02,38,"THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU",463,DAMAN,IGNWPS,1640,114,233,678,615,682,893,2024-07-31
2023-2024,02,5,UTTARAKHAND,46,BAGESHWAR,IGNWPS,813,279,0,508,26,385,416,2024-07-31
2023-2024,02,5,UTTARAKHAND,49,DEHRADUN,IGNWPS,546,116,32,319,79,231,237,2024-07-31
2023-2024,02,5,UTTARAKHAND,53,PITHORAGARH,IGNWPS,1090,328,22,711,29,386,84,2024-07-31
2023-2024,02,5,UTTARAKHAND,56,"UDAM SINGH NAGAR",IGNWPS,4132,717,651,1581,1183,1703,3245,2024-07-31
2023-2024,02,6,HARYANA,58,AMBALA,IGNWPS,5246,1451,0,2695,1100,3832,2392,2024-07-31
2023-2024,02,6,HARYANA,61,FATEHABAD,IGNWPS,6831,1786,0,4153,892,3893,1775,2024-07-31
2023-2024,02,6,HARYANA,63,HISAR,IGNWPS,10951,3225,0,5889,1837,6734,3050,2024-07-31
2023-2024,01,2,"HIMACHAL PRADESH",22,MANDI,IGNWPS,2849,638,35,1974,202,872,0,2024-07-31
2023-2024,01,20,JHARKHAND,328,GARHWA,IGNWPS,10121,2607,1682,2337,3495,9881,2688,2024-07-31
2023-2024,01,20,JHARKHAND,330,GODDA,IGNWPS,10008,666,2531,1739,5072,9752,1736,2024-07-31
2023-2024,01,20,JHARKHAND,333,JAMTARA,IGNWPS,5197,487,2128,234,2348,5084,4370,2024-07-31
2023-2024,01,20,JHARKHAND,335,LATEHAR,IGNWPS,8767,2037,4100,1136,1494,8763,4569,2024-07-31
2023-2024,01,20,JHARKHAND,336,LOHARDAGA,IGNWPS,4037,244,1652,1760,381,3960,370,2024-07-31
2023-2024,01,20,JHARKHAND,339,RANCHI,IGNWPS,11970,614,6738,1637,2981,11858,6222,2024-07-31
2023-2024,01,20,JHARKHAND,342,SIMDEGA,IGNWPS,5604,604,3910,306,784,5597,1264,2024-07-31
2023-2024,01,21,ODISHA,349,BOUDH,IGNWPS,5566,650,296,3390,1230,5323,1787,2024-07-31
2023-2024,01,21,ODISHA,353,GAJAPATI,IGNWPS,11523,687,5915,2330,2591,11288,8308,2024-07-31
2023-2024,01,21,ODISHA,354,GANJAM,IGNWPS,47344,7208,1041,28347,10748,45833,18624,2024-07-31
2023-2024,01,21,ODISHA,365,MAYURBHANJ,IGNWPS,43639,4802,21658,12171,5008,43288,13564,2024-07-31
2023-2024,01,21,ODISHA,371,SAMBALPUR,IGNWPS,12490,2240,4063,4488,1699,12387,9368,2024-07-31
2023-2024,01,21,ODISHA,372,SONEPUR,IGNWPS,6720,1577,631,1870,2642,6712,3998,2024-07-31
2023-2024,01,22,CHHATTISGARH,380,JASHPUR,IGNWPS,5780,454,3166,1037,1123,5201,2202,2024-07-31
2023-2024,01,22,CHHATTISGARH,381,KANKER,IGNWPS,7435,341,2978,2699,1417,6783,3784,2024-07-31
2023-2024,01,22,CHHATTISGARH,383,KORBA,IGNWPS,9722,712,3559,3369,2082,8701,907,2024-07-31
2023-2024,01,22,CHHATTISGARH,384,KOREA,IGNWPS,1674,165,803,144,562,1654,821,2024-07-31
2023-2024,01,23,"MADHYA PRADESH",390,ANUPPUR,IGNWPS,12244,1406,6921,717,3200,6542,2617,2024-07-31
2023-2024,01,23,"MADHYA PRADESH",398,CHHATARPUR,IGNWPS,13082,4350,1054,1594,6084,7419,3565,2024-07-31
2023-2024,01,23,"MADHYA PRADESH",400,DAMOH,IGNWPS,21254,5239,3402,1934,10679,11040,4692,2024-07-31
2023-2024,01,23,"MADHYA PRADESH",401,DATIA,IGNWPS,6185,2550,245,433,2957,3326,1608,2024-07-31
2023-2024,01,23,"MADHYA PRADESH",419,NEEMUCH,IGNWPS,10278,2057,1561,1414,5246,5486,2633,2024-07-31
2023-2024,01,23,"MADHYA PRADESH",422,RAJGARH,IGNWPS,18853,4508,831,1892,11622,10330,3505,2024-07-31
2023-2024,01,23,"MADHYA PRADESH",427,SEHORE,IGNWPS,11071,3077,1383,1437,5174,6547,2480,2024-07-31
2023-2024,01,23,"MADHYA PRADESH",428,SEONI,IGNWPS,19874,2104,8034,1428,8308,13294,5528,2024-07-31
2023-2024,01,24,GUJARAT,440,ANAND,IGNWPS,20510,77,8,19638,775,20358,20379,2024-07-31
2023-2024,01,24,GUJARAT,441,"BANAS KANTHA",IGNWPS,16039,1919,1665,3323,9128,15938,16029,2024-07-31
2023-2024,01,24,GUJARAT,442,BHARUCH,IGNWPS,7771,360,3455,2944,1010,7690,7706,2024-07-31
2023-2024,01,24,GUJARAT,444,DANG,IGNWPS,1122,2,982,108,30,1122,1121,2024-07-31
2023-2024,01,24,GUJARAT,446,GANDHINAGAR,IGNWPS,19144,308,31,15038,3767,17969,17752,2024-07-31
2023-2024,01,24,GUJARAT,450,KHEDA,IGNWPS,18013,71,16,17241,683,17802,12276,2024-07-31
2023-2024,01,24,GUJARAT,455,PATAN,IGNWPS,21344,1393,177,9497,10274,21213,21196,2024-07-31
2023-2024,01,24,GUJARAT,457,RAJKOT,IGNWPS,8368,601,290,5252,2225,8320,8338,2024-07-31
2023-2024,01,24,GUJARAT,462,VALSAD,IGNWPS,11886,648,3350,7144,744,11660,11567,2024-07-31
2023-2024,01,24,GUJARAT,668,"CHHOTA UDEPUR",IGNWPS,10353,226,4909,4076,1141,10229,8867,2024-07-31
2023-2024,01,24,GUJARAT,673,MORBI,IGNWPS,3535,119,7,2679,729,3529,3509,2024-07-31
2023-2024,01,24,GUJARAT,674,"DEVBHUMI DWARKA",IGNWPS,5176,117,25,3489,1545,5121,5105,2024-07-31
2023-2024,01,24,GUJARAT,676,BOTAD,IGNWPS,3166,249,11,483,2423,3159,3164,2024-07-31
2023-2024,01,27,MAHARASHTRA,468,AMRAVATI,IGNWPS,2965,137,673,2032,123,2144,762,2024-07-31
2023-2024,01,27,MAHARASHTRA,473,CHANDRAPUR,IGNWPS,6487,141,202,5824,320,5553,4033,2024-07-31
2023-2024,01,27,MAHARASHTRA,474,DHULE,IGNWPS,5334,90,789,4176,279,4183,44,2024-07-31
2023-2024,01,27,MAHARASHTRA,481,LATUR,IGNWPS,2585,170,2,2330,83,2076,387,2024-07-31
2023-2024,01,27,MAHARASHTRA,486,NANDURBAR,IGNWPS,7734,282,4875,2114,463,7442,1378,2024-07-31
2023-2024,01,27,MAHARASHTRA,487,NASHIK,IGNWPS,8745,598,2550,5345,252,7144,1222,2024-07-31
2023-2024,01,27,MAHARASHTRA,491,RAIGAD,IGNWPS,1663,80,274,1024,285,1629,487,2024-07-31
2023-2024,01,27,MAHARASHTRA,495,SINDHUDURG,IGNWPS,666,47,7,452,160,658,137,2024-07-31
2023-2024,01,27,MAHARASHTRA,500,YAVATMAL,IGNWPS,2046,94,182,1369,401,1903,701,2024-07-31
2023-2024,01,28,"ANDHRA PRADESH",511,KURNOOL,IGNWPS,40648,8009,1047,6397,25195,24315,31817,2024-07-31
2023-2024,01,28,"ANDHRA PRADESH",743,"Parvathipuram Manyam",IGNWPS,5596,763,554,1054,3225,5596,5585,2024-07-31
2023-2024,01,28,"ANDHRA PRADESH",754,"Sri Sathya Sai",IGNWPS,7017,597,1119,1440,3861,7017,7005,2024-07-31
2023-2024,01,29,KARNATAKA,526,"BENGALURU RURAL",IGNWPS,7934,866,185,2219,4664,7835,5387,2024-07-31
2023-2024,01,29,KARNATAKA,543,KOPPAL,IGNWPS,12746,845,737,2778,8386,12497,8767,2024-07-31
2023-2024,01,3,PUNJAB,30,"FATEHGARH SAHIB",IGNWPS,521,60,0,449,12,366,521,2024-07-31
2023-2024,01,3,PUNJAB,35,KAPURTHALA,IGNWPS,231,10,0,221,0,150,217,2024-07-31
2023-2024,01,31,LAKSHADWEEP,553,"LAKSHADWEEP DISTRICT",IGNWPS,75,0,33,42,0,75,0,2024-07-31
2023-2024,01,32,KERALA,554,ALAPPUZHA,IGNWPS,12842,753,52,12037,0,11686,6924,2024-07-31
2023-2024,01,32,KERALA,557,KANNUR,IGNWPS,33083,532,558,31993,0,31786,27105,2024-07-31
2023-2024,01,32,KERALA,560,KOTTAYAM,IGNWPS,13507,742,196,12569,0,12714,9811,2024-07-31
2023-2024,01,32,KERALA,563,PALAKKAD,IGNWPS,22902,1966,645,20291,0,21285,13861,2024-07-31
2023-2024,01,32,KERALA,564,PATHANAMTHITTA,IGNWPS,11982,1136,216,10630,0,11416,6812,2024-07-31
2023-2024,01,32,KERALA,566,THRISSUR,IGNWPS,20819,1625,310,18884,0,18203,15037,2024-07-31
2023-2024,01,33,"TAMIL NADU",573,ERODE,IGNWPS,16886,3947,239,6342,6358,14768,16424,2024-07-31
2023-2024,01,33,"TAMIL NADU",578,MADURAI,IGNWPS,33013,2485,0,24118,6410,20553,32430,2024-07-31
2023-2024,01,33,"TAMIL NADU",580,NAMAKKAL,IGNWPS,11694,2557,272,23,8842,9925,11615,2024-07-31
2023-2024,01,33,"TAMIL NADU",586,THANJAVUR,IGNWPS,12773,2910,0,7901,1962,11349,12734,2024-07-31
2023-2024,01,33,"TAMIL NADU",587,"THE NILGIRIS",IGNWPS,3638,1588,579,155,1316,3022,3629,2024-07-31
2023-2024,01,33,"TAMIL NADU",593,TIRUVANNAMALAI,IGNWPS,8034,1998,9,4893,1134,6751,8025,2024-07-31
2023-2024,01,33,"TAMIL NADU",595,VELLORE,IGNWPS,44014,9493,934,11871,21716,21230,43925,2024-07-31
2023-2024,01,33,"TAMIL NADU",596,VILLUPPURAM,IGNWPS,22344,6582,828,2035,12899,16486,22272,2024-07-31
2023-2024,01,36,TELANGANA,501,ADILABAD,IGNWPS,13699,2722,3169,1454,6354,9911,12899,2024-07-31
2023-2024,01,36,TELANGANA,508,KARIMNAGAR,IGNWPS,6784,1730,441,563,4050,6563,5953,2024-07-31
2023-2024,01,36,TELANGANA,512,MAHABUBNAGAR,IGNWPS,9922,2004,1427,523,5968,8978,8876,2024-07-31
2023-2024,01,36,TELANGANA,683,"RAJANNA SIRCILLA",IGNWPS,1562,415,52,156,939,1539,1518,2024-07-31
2023-2024,01,36,TELANGANA,690,"BHADRADRI KOTHAGUDEM",IGNWPS,4939,579,1776,21,2563,4869,4254,2024-07-31
2023-2024,01,36,TELANGANA,692,SIDDIPET,IGNWPS,6158,1383,78,444,4253,6148,5606,2024-07-31
2023-2024,01,36,TELANGANA,693,WANAPARTHY,IGNWPS,3641,606,426,213,2396,3613,2992,2024-07-31
2023-2024,01,36,TELANGANA,694,NAGARKURNOOL,IGNWPS,7733,1703,1571,415,4044,7499,6963,2024-07-31
2023-2024,01,36,TELANGANA,699,"KOMARAM BHEEM ASIFABAD",IGNWPS,5655,1146,2548,169,1792,5148,4494,2024-07-31
2023-2024,01,37,LADAKH,6,KARGIL,IGNWPS,252,0,252,0,0,0,0,2024-07-31
2023-2024,01,4,CHANDIGARH,44,CHANDIGARH,IGNWPS,2486,0,0,2486,0,2486,0,2024-07-31
2023-2024,01,5,UTTARAKHAND,48,CHAMPAWAT,IGNWPS,1270,329,0,925,16,536,426,2024-07-31
2023-2024,01,5,UTTARAKHAND,51,NAINITAL,IGNWPS,1871,296,0,1572,3,1016,934,2024-07-31
2023-2024,01,5,UTTARAKHAND,52,"PAURI GARHWAL",IGNWPS,559,89,0,466,4,168,58,2024-07-31
2023-2024,01,5,UTTARAKHAND,54,"RUDRA PRAYAG",IGNWPS,1127,285,0,840,2,453,497,2024-07-31
2023-2024,01,5,UTTARAKHAND,55,"TEHRI GARWAL",IGNWPS,6302,691,5,5601,5,2012,537,2024-07-31
2023-2024,01,5,UTTARAKHAND,56,"UDAM SINGH NAGAR",IGNWPS,4132,717,651,1581,1183,1703,3245,2024-07-31
2023-2024,01,6,HARYANA,58,AMBALA,IGNWPS,5246,1451,0,2695,1100,3832,2392,2024-07-31
2023-2024,01,6,HARYANA,72,REWARI,IGNWPS,4416,1037,0,2391,988,2652,1358,2024-07-31
2023-2024,01,7,DELHI,77,CENTRAL,IGNWPS,3671,123,0,3539,9,3640,3504,2024-07-31
2023-2024,01,7,DELHI,78,EAST,IGNWPS,5441,53,2,5367,19,5416,5353,2024-07-31
2023-2024,01,7,DELHI,85,WEST,IGNWPS,4930,308,1,4606,15,4849,4761,2024-07-31
2023-2024,01,8,RAJASTHAN,103,JAISALMER,IGNWPS,2722,471,192,916,1143,2265,2312,2024-07-31
2023-2024,01,8,RAJASTHAN,108,KAROULI,IGNWPS,8699,3337,1312,1350,2700,7460,7964,2024-07-31
2023-2024,01,8,RAJASTHAN,109,KOTA,IGNWPS,9025,2043,544,3999,2439,7856,7749,2024-07-31
2023-2024,01,8,RAJASTHAN,111,PALI,IGNWPS,10645,3195,1143,1288,5019,8613,9260,2024-07-31
2023-2024,01,8,RAJASTHAN,113,"SAWAI MADHOPUR",IGNWPS,5224,1578,817,777,2052,4604,4940,2024-07-31
2023-2024,01,8,RAJASTHAN,115,SIROHI,IGNWPS,3174,880,1270,299,725,2781,2790,2024-07-31
